,1,2,3,4,5,6,7,8,9,10
1,88,210,125,164,200,576,587,164,126,94
2,872,178,117,105,357,123,400,130,139,267
3,53,88,146,216,181,88,80,173,262,91
4,204,264,187,166,161,110,81,221,387,277
5,509,123,114,118,103,503,127,256,107,93
6,91,103,93,173,107,158,110,252,306,96
7,63,75,183,200,81,232,177,252,113,141
8,43,678,101,396,771,79,320,150,99,183
9,111,186,108,81,521,177,121,214,298,474
10,115,99,186,94,126,100,115,242,106,76
11,220,371,153,134,329,216,372,73,96,320
12,161,190,180,150,183,96,100,105,133,87
13,927,158,137,182,111,239,246,246,140,162
14,314,160,197,307,67,110,92,258,391,124
15,454,153,153,128,177,99,310,979,353,85
16,74,92,229,118,112,125,249,110,243,180
17,86,288,545,121,106,342,367,94,507,88
18,138,108,390,116,125,238,222,272,309,249
19,60,182,216,115,93,94,124,111,524,173
20,412,72,585,129,281,218,169,103,224,94
21,50,276,109,135,205,171,226,154,378,327
22,112,405,352,105,240,156,136,121,108,101
23,207,135,210,270,291,138,120,194,642,327
24,45,141,126,895,396,89,199,133,221,149
25,436,108,97,221,243,92,596,268,114,134
26,153,146,184,352,96,162,113,154,815,112
27,82,258,170,175,107,181,149,89,102,89
28,44,80,203,185,151,141,118,104,88,237
29,135,97,359,178,332,123,97,128,413,101
30,77,165,115,156,131,189,230,164,90,123
31,342,67,275,122,179,210,244,121,146,95
32,183,135,750,101,374,306,115,126,190,110
33,100,194,74,169,112,245,162,148,224,159
34,132,369,243,255,184,167,205,358,134,113
35,195,122,275,135,122,271,481,398,96,96
36,85,135,279,110,302,277,362,99,216,193
37,40,327,189,223,121,463,84,171,96,103
38,110,269,255,137,128,145,113,210,769,102
39,229,152,264,187,338,156,140,115,104,360
40,81,229,775,120,123,122,227,207,164,352
41,139,132,95,144,101,323,102,455,116,110
42,57,76,174,256,191,133,203,130,170,159
43,92,150,71,151,81,283,98,161,107,101
44,173,83,158,101,130,351,447,264,127,111
45,150,214,179,129,722,122,108,128,107,453
46,198,128,219,393,377,172,145,513,417,190
47,75,116,104,111,225,160,233,434,100,110
48,343,88,312,124,179,106,108,427,124,120
49,98,292,174,206,109,174,220,114,394,129
50,84,140,113,430,191,176,194,111,163,354
51,156,134,80,304,84,113,400,184,339,572
52,105,140,155,384,183,256,264,164,231,235
53,273,98,136,104,247,139,270,183,278,394
54,46,108,97,207,124,125,101,79,102,109
55,265,410,242,640,143,201,496,415,91,172
56,216,181,175,220,388,188,270,111,312,225
57,132,112,174,103,102,101,89,336,111,116
58,166,93,184,136,483,183,351,96,192,107
59,135,87,163,164,159,829,336,153,142,261
60,133,235,106,425,353,344,381,261,569,103
61,306,169,91,156,144,277,87,253,803,367
62,129,136,121,575,167,327,378,201,177,89
63,917,347,151,75,307,172,243,183,289,136
64,140,92,164,102,559,415,182,190,84,381
65,92,123,412,391,171,96,148,364,96,91
66,289,522,277,179,93,428,447,1335,155,94
67,123,569,477,227,158,137,108,133,149,85
68,78,115,174,119,177,256,113,327,250,87
69,472,136,285,110,163,112,252,145,233,452
70,134,117,240,261,75,86,190,127,98,264
71,53,52,133,245,107,339,95,92,118,852
72,90,232,306,253,115,274,115,218,404,108
73,77,365,289,54,98,208,399,104,90,135
74,44,104,99,118,194,122,135,915,235,357
75,504,262,96,108,275,257,87,88,110,133
76,39,126,83,970,295,179,160,119,170,108
77,138,216,500,469,102,89,113,161,103,103
78,61,127,148,160,556,180,154,611,369,106
79,95,98,114,433,175,210,99,290,134,84
80,126,224,225,154,109,201,179,217,105,367
81,60,128,142,75,104,306,178,662,118,313
82,77,94,402,98,346,346,179,141,112,166
83,38,60,551,253,182,149,154,269,111,141
84,131,95,98,162,232,216,104,77,87,163
85,212,129,146,218,195,106,264,144,100,155
86,74,49,511,827,199,120,290,184,94,146
87,40,102,199,146,97,233,159,79,142,230
88,41,102,96,258,189,243,130,493,185,94
89,123,89,91,102,156,784,909,511,94,144
90,211,70,970,213,149,143,190,122,100,81
91,80,106,282,426,112,321,133,78,127,139
92,111,89,113,132,104,126,141,202,97,108
93,107,137,102,304,558,231,125,103,77,153
94,98,90,80,184,298,109,86,218,135,97
95,59,118,365,347,173,213,565,104,322,96
96,104,94,76,145,86,313,118,83,164,258
97,76,252,272,784,121,127,107,110,141,94
98,38,121,306,102,278,361,117,108,341,102
99,39,614,177,185,177,157,151,243,108,157
100,202,120,121,129,142,131,472,130,456,163
