,1,2,3,4,5,6,7,8,9,10
1,6,16,22,15,20,17,22,22,19,40
2,23,13,11,18,19,27,24,24,17,20
3,1,6,10,18,23,33,21,23,21,35
4,14,21,12,19,11,28,24,18,28,27
5,17,15,7,12,29,20,19,17,22,33
6,8,6,9,18,17,17,32,21,29,33
7,3,5,16,16,16,24,26,22,31,29
8,1,22,13,18,26,11,25,22,28,31
9,9,10,20,13,13,23,28,22,27,29
10,9,8,13,18,21,33,18,33,29,31
11,15,20,28,12,30,25,22,19,29,28
12,13,10,16,24,14,17,28,30,24,30
13,21,8,18,15,10,19,17,27,17,25
14,15,18,13,15,10,22,16,26,14,24
15,16,17,13,20,24,21,18,28,31,36
16,5,3,22,13,24,26,26,30,25,19
17,5,16,19,7,24,22,20,32,26,29
18,9,10,28,19,27,20,19,18,23,22
19,3,23,25,22,24,10,21,24,36,23
20,32,3,23,20,19,18,31,19,28,27
21,1,19,22,22,17,30,15,16,20,31
22,8,14,18,16,20,15,26,29,35,28
23,17,7,16,22,23,21,14,32,22,34
24,1,22,17,24,21,9,32,24,27,20
25,23,14,18,15,18,36,29,29,28,30
26,15,13,19,32,15,26,16,24,26,38
27,5,20,16,16,28,26,24,29,35,32
28,2,9,18,16,13,18,26,25,31,32
29,17,7,20,21,15,26,22,23,23,22
30,4,15,8,11,17,28,22,17,36,21
31,13,4,14,18,16,23,31,22,21,28
32,19,14,27,30,20,19,19,27,19,29
33,10,17,3,22,24,27,18,26,27,25
34,14,16,19,20,17,20,22,25,22,29
35,8,16,17,9,25,24,24,23,22,30
36,8,16,19,11,30,25,23,32,24,31
37,1,21,12,14,24,19,31,19,31,32
38,4,18,16,25,25,24,31,29,33,38
39,8,18,12,21,21,20,25,16,31,28
40,9,16,20,26,28,26,17,21,23,23
41,5,15,16,19,24,26,27,26,28,22
42,3,11,14,19,30,18,14,36,25,30
43,7,18,6,21,9,16,30,22,30,29
44,21,5,18,30,20,22,19,21,26,22
45,12,14,20,14,27,15,25,19,27,22
46,24,12,19,22,17,21,29,21,29,21
47,4,9,18,7,19,19,24,28,27,20
48,21,4,26,16,27,25,31,33,30,25
49,12,19,12,18,24,20,24,32,20,24
50,4,9,18,16,19,19,19,20,19,25
51,9,19,20,27,12,27,32,18,19,26
52,6,11,19,23,20,21,35,32,22,40
53,18,12,13,32,24,11,25,35,18,39
54,2,13,9,14,12,24,26,29,29,30
55,10,20,17,25,8,19,29,13,29,18
56,14,13,15,17,19,22,22,27,31,23
57,7,8,14,16,13,27,25,20,22,26
58,11,5,14,26,19,13,22,22,25,26
59,10,13,18,19,16,34,21,25,29,31
60,8,20,17,20,17,19,25,20,30,21
61,12,15,19,15,19,20,24,29,22,20
62,11,5,9,18,26,15,23,22,20,29
63,23,17,16,6,18,20,23,20,26,25
64,13,6,13,26,15,18,24,25,32,34
65,4,21,12,17,30,14,26,20,27,30
66,15,13,17,24,30,21,34,26,22,26
67,9,20,23,15,23,18,19,23,27,23
68,10,9,17,18,20,31,23,24,25,23
69,29,15,17,12,20,22,19,31,21,29
70,5,7,17,21,19,22,19,24,32,21
71,1,2,16,18,15,23,32,33,20,38
72,4,12,23,14,17,17,25,23,32,31
73,2,17,29,5,25,21,20,21,32,26
74,1,8,18,8,20,31,26,26,28,28
75,22,13,10,11,19,15,17,23,33,35
76,1,12,9,23,24,32,25,26,20,32
77,18,5,21,21,25,31,28,19,34,26
78,2,8,20,23,24,21,21,19,34,31
79,10,17,9,13,19,18,24,28,19,20
80,11,17,9,24,22,36,15,19,26,29
81,2,15,24,12,25,23,21,21,22,29
82,4,13,23,15,23,26,15,23,25,22
83,1,5,19,19,19,17,26,32,34,27
84,15,7,10,17,14,17,32,24,24,21
85,19,15,29,24,26,22,23,29,26,25
86,4,2,17,31,26,15,21,26,21,24
87,1,13,13,11,18,18,14,19,21,27
88,1,11,7,20,23,23,24,24,29,30
89,5,6,15,23,23,24,19,15,21,24
90,23,3,24,24,20,16,21,26,31,29
91,10,13,20,18,20,23,19,18,27,29
92,14,17,19,22,14,25,18,30,27,30
93,24,16,23,17,23,25,17,32,25,31
94,8,7,12,21,17,19,17,27,29,37
95,3,21,18,28,20,25,27,27,38,37
96,4,10,16,15,13,14,31,24,27,22
97,5,15,14,21,17,17,19,27,20,32
98,1,17,26,18,22,25,16,27,22,29
99,1,19,11,24,13,14,30,28,30,33
100,14,26,11,11,14,25,31,18,41,21
