,100,110,120,130,140
1,5024,6979,6162,6492,101
2,903,16092,7935,7975,6901
3,162,627,172,246,5443
4,81,595,4585,16081,399
5,1261,3165,4323,16186,22723
6,150,2165,1180,3710,11867
7,1712,4584,3172,33963,21410
8,168,187,3040,5759,23886
9,452,3288,612,5056,18111
10,255,6902,1547,2440,16051
11,460,4390,2819,16290,58338
12,353,1052,1808,2479,50632
13,212,1944,1094,230,1119
14,386,1427,11927,2815,23797
15,1044,68,4450,14278,143
16,824,8612,628,1678,265
17,510,3169,2316,23007,30931
18,364,3612,16064,71443,41862
19,489,160,21520,2012,14601
20,113,3874,11283,67,49382
21,5864,1857,1072,13484,53696
22,2883,823,21546,4180,24306
23,993,1733,12518,9913,38338
24,1585,709,9039,26834,32221
25,682,1361,5000,27363,26522
26,1546,1155,3689,141,16738
27,102,2378,16752,36950,4561
28,677,5192,630,11136,53677
29,4289,721,5168,6562,7749
30,451,5582,12976,43509,30282
31,1935,240,151,30206,19230
32,134,820,1189,18506,150
33,1095,12850,19702,1895,49778
34,1874,262,810,32328,155
35,1210,5121,6818,8528,16885
36,955,2347,18573,125,2303
37,1108,3003,1846,1672,1791
38,118,5752,1857,42463,22911
39,1551,3014,7666,63612,9123
40,95,1144,2058,10846,47815
41,905,1974,194,12421,64620
42,568,616,1412,2872,27713
43,3002,76,4993,8215,7250
44,786,575,18878,35693,242
45,1832,1029,302,1882,17444
46,1183,11842,88,3396,14445
47,2974,2101,1188,45286,3800
48,247,2217,5991,13137,32583
49,273,8189,1101,17819,155
50,494,3600,3923,77551,12369
51,664,3328,12886,3410,15858
52,2757,2446,106,7017,17438
53,231,3451,2886,1883,11609
54,219,734,3983,243,6571
55,3817,1439,8451,102,37479
56,1470,2390,633,143,1525
57,4292,7101,2955,20946,13186
58,1082,405,1876,28124,27513
59,350,377,15450,12696,22201
60,1915,159,2982,627,168
61,1655,508,4566,13550,52214
62,834,455,2369,5754,35297
63,197,1171,4988,20750,93461
64,9393,2692,15839,768,42635
65,1013,927,3744,5294,174
66,148,3865,3038,1954,14302
67,284,1940,12735,10885,3175
68,631,138,5279,16928,56791
69,1742,1346,1974,7512,5014
70,202,247,1344,12804,26676
71,442,15561,6133,6325,3603
72,68,3788,4682,727,7940
73,2263,627,296,177,2352
74,11541,554,18482,5841,28350
75,225,795,1763,15332,51552
76,4341,2612,134,6773,8908
77,1027,3476,171,5532,29596
78,2471,1587,92,63917,25221
79,113,1560,834,35229,18491
80,321,4189,4973,44080,10920
81,1543,2391,310,16344,1120
82,2506,3108,497,9627,39508
83,1570,1200,162,7680,3402
84,955,2373,153,165,68211
85,2840,2510,3730,8752,32598
86,799,465,5245,15390,6471
87,73,576,21172,40335,7480
88,130,6047,6329,12240,43741
89,801,1522,913,54829,133
90,1482,5343,1299,7992,16382
91,1494,145,938,24427,26426
92,4999,1040,2224,11976,6902
93,1507,1038,7293,5054,50960
94,4567,128,1353,21512,16163
95,317,5373,775,9152,56
96,380,8893,7006,9390,216676
97,999,226,13844,5911,32305
98,294,1930,15070,16847,7067
99,189,1065,9794,16674,5566
100,232,87,3892,39739,11069
