,100,110,120,130,140
1,100,110,120,130,31
2,100,110,120,130,140
3,65,110,118,130,140
4,16,109,120,130,140
5,100,110,120,130,140
6,81,110,120,130,140
7,100,110,120,130,140
8,98,100,120,130,140
9,90,110,119,130,140
10,97,110,120,130,140
11,99,110,120,130,140
12,92,110,120,130,140
13,97,110,120,126,140
14,85,110,120,130,140
15,100,5,120,130,140
16,100,110,120,130,140
17,95,110,120,130,140
18,91,110,120,130,140
19,99,107,120,130,140
20,59,110,120,8,140
21,100,110,120,130,140
22,100,110,120,130,140
23,100,110,120,130,140
24,100,110,120,130,140
25,100,110,120,130,140
26,100,110,120,123,140
27,39,110,120,130,140
28,100,110,119,130,140
29,100,107,120,130,140
30,98,110,120,130,140
31,100,95,99,130,140
32,53,110,120,130,119
33,100,110,120,130,140
34,100,104,120,130,124
35,98,110,120,130,140
36,100,110,120,118,140
37,100,110,120,130,140
38,45,110,120,130,140
39,100,110,120,130,140
40,22,110,120,130,140
41,100,109,109,130,140
42,99,110,120,130,140
43,100,15,120,130,140
44,100,110,120,130,134
45,100,110,120,130,140
46,100,110,35,130,140
47,100,110,120,130,140
48,95,110,120,130,140
49,93,110,120,130,136
50,97,110,120,130,140
51,100,110,120,129,140
52,100,110,97,130,140
53,86,110,120,130,140
54,84,110,120,125,140
55,100,110,120,37,140
56,99,110,120,123,140
57,100,110,120,130,140
58,100,110,120,130,140
59,98,108,120,130,140
60,100,100,120,130,140
61,100,109,120,130,140
62,100,108,120,130,140
63,86,110,120,130,140
64,100,110,120,130,140
65,100,110,120,130,140
66,70,110,120,130,140
67,91,110,120,130,140
68,100,92,120,130,140
69,100,110,120,130,140
70,97,108,120,130,140
71,100,110,120,130,140
72,8,110,120,130,140
73,100,110,120,124,140
74,100,110,120,130,140
75,95,110,120,130,140
76,99,110,107,130,140
77,100,110,111,130,140
78,100,110,25,130,140
79,79,110,120,130,140
80,72,110,120,130,140
81,100,110,110,130,140
82,100,110,117,130,140
83,98,110,108,130,140
84,100,110,116,126,140
85,100,110,120,130,140
86,100,110,120,130,140
87,5,110,120,130,140
88,19,110,120,130,140
89,100,110,119,130,138
90,100,110,120,130,140
91,100,106,120,130,140
92,100,110,120,130,140
93,100,110,120,130,140
94,100,68,120,130,140
95,95,110,120,130,3
96,99,110,120,130,140
97,100,106,120,130,140
98,96,110,120,130,140
99,69,110,120,130,140
100,73,8,120,130,140
