,0,1,2,3,4,5,6,7,8,9,10
1,145,66,92,92,119,79,104,299,284,88,94
2,104,106,101,70,81,162,69,174,102,82,118
3,127,266,101,141,124,219,154,559,383,240,142
4,338,508,97,139,111,188,286,78,169,145,116
5,174,380,136,95,127,129,85,67,229,143,154
6,305,121,391,108,116,202,132,75,64,158,137
7,51,187,183,137,47,73,120,160,144,133,134
8,128,64,250,620,51,77,103,147,148,90,91
9,96,272,76,166,50,88,70,136,40,60,211
10,1253,122,268,60,199,194,115,93,113,149,120
11,465,445,282,127,166,98,221,62,62,943,215
12,150,131,142,165,110,191,90,185,104,203,84
13,277,387,98,146,101,166,127,242,191,141,125
14,184,215,240,149,104,92,184,228,114,102,160
15,58,64,87,132,121,262,114,47,126,71,80
16,82,271,263,512,98,102,109,251,166,327,546
17,130,59,51,185,81,111,124,245,182,347,90
18,119,80,191,319,158,238,110,96,148,199,174
19,138,74,425,85,57,280,130,189,246,82,151
20,188,70,156,178,176,192,110,120,104,85,141
21,170,98,113,288,108,74,93,109,114,96,92
22,373,82,176,82,114,130,474,58,88,68,162
23,391,120,177,70,96,100,90,110,185,86,250
24,650,499,151,130,265,266,56,338,121,249,114
25,88,100,123,510,205,83,229,161,270,232,62
26,491,89,207,224,116,281,84,126,108,114,79
27,248,192,94,271,170,51,143,107,296,88,303
28,299,220,288,82,74,135,123,117,142,145,109
29,259,470,82,124,152,95,74,99,83,155,139
30,143,81,130,172,182,58,167,449,112,109,72
31,341,318,138,161,79,94,124,55,86,48,111
32,65,83,137,286,116,132,109,189,132,110,127
33,283,139,250,219,75,110,47,101,95,40,107
34,101,177,103,92,222,43,174,98,112,61,249
35,130,200,147,809,96,155,171,167,111,104,107
36,102,56,363,262,144,178,107,145,112,288,75
37,177,320,93,130,329,189,61,155,93,75,100
38,130,95,127,127,164,175,57,109,147,200,239
39,200,66,342,136,116,62,180,221,46,133,94
40,102,334,416,364,159,80,197,261,245,304,139
41,127,112,127,312,91,130,383,154,143,84,223
42,872,498,192,94,129,103,518,223,203,60,77
43,119,153,95,625,125,305,85,172,357,105,249
44,93,88,154,203,65,134,136,617,102,173,89
45,406,394,132,99,155,412,103,508,265,117,285
46,106,331,443,268,68,395,148,145,116,142,99
47,390,232,60,338,504,68,142,197,171,114,170
48,112,155,117,99,76,93,41,43,139,144,207
49,70,142,220,49,91,52,223,123,97,106,111
50,155,104,86,137,203,297,85,193,284,45,148
51,59,309,172,354,321,150,98,166,46,108,230
52,295,135,140,458,124,315,79,472,85,101,41
53,153,66,55,58,154,157,134,217,121,51,131
54,274,437,49,125,136,87,93,117,63,140,316
55,189,269,126,206,259,171,158,136,363,409,148
56,82,188,177,201,103,50,299,47,118,98,471
57,57,256,79,172,554,234,126,107,226,554,124
58,58,133,57,713,207,235,110,230,130,102,138
59,255,133,112,209,114,163,64,162,203,159,67
60,128,82,292,293,187,76,153,184,104,411,657
61,113,314,236,425,120,159,61,186,118,321,48
62,357,77,123,117,74,67,153,77,275,91,108
63,187,133,44,85,141,332,242,158,92,112,339
64,786,140,125,61,478,53,103,114,192,53,460
65,172,100,53,282,287,323,87,55,134,316,184
66,81,128,203,77,234,350,135,151,100,280,79
67,81,443,235,369,123,83,166,93,111,163,117
68,92,53,80,102,98,134,127,118,42,106,84
69,138,149,103,384,80,106,412,96,347,81,380
70,289,146,333,129,94,138,65,103,94,119,139
71,132,53,328,125,178,125,293,263,99,112,94
72,91,446,110,570,209,142,141,135,165,60,67
73,113,287,56,119,583,266,65,86,36,136,161
74,61,661,125,101,93,113,144,87,105,59,209
75,193,91,261,511,83,42,168,80,98,109,76
76,129,91,137,234,383,93,335,149,458,117,47
77,270,322,118,140,171,126,101,237,119,60,106
78,331,204,73,55,477,110,105,221,81,123,101
79,80,73,387,292,73,120,92,148,153,131,115
80,157,298,257,66,56,170,126,274,139,97,76
81,171,1425,133,99,116,104,109,145,104,74,90
82,290,305,169,220,267,735,59,84,270,212,126
83,86,183,65,121,187,115,78,213,319,102,66
84,147,94,149,447,49,116,47,362,107,239,106
85,221,172,181,135,75,144,58,76,316,46,215
86,114,295,66,78,83,99,107,90,176,159,172
87,54,91,332,255,96,119,129,82,94,139,276
88,356,95,326,141,130,266,163,135,91,413,90
89,258,166,156,87,164,159,81,85,76,93,127
90,153,61,195,286,335,97,111,267,131,85,198
91,139,122,134,466,163,138,77,219,195,46,156
92,120,154,177,148,128,144,206,349,59,51,88
93,358,76,240,164,146,147,114,167,128,183,113
94,130,144,103,157,233,193,366,178,122,103,113
95,414,180,176,106,267,46,54,95,69,106,70
96,192,113,185,37,78,105,85,94,116,51,62
97,155,279,133,64,122,107,91,187,112,184,134
98,386,116,77,171,100,218,90,116,89,138,466
99,140,262,70,134,104,328,110,270,130,87,130
100,152,118,95,278,141,106,126,59,330,75,385
