,0,1,2,3,4,5,6,7,8,9,10
1,55,8,15,3,28,10,15,59,27,18,13
2,27,22,31,4,15,10,4,28,40,14,28
3,37,47,11,41,30,37,48,60,34,21,41
4,59,68,20,36,9,20,39,20,53,35,14
5,51,62,37,18,21,49,10,4,17,40,15
6,40,28,45,34,30,31,31,7,4,33,34
7,2,55,48,25,2,9,13,34,27,20,9
8,48,6,39,57,3,9,16,26,23,14,15
9,31,42,7,32,2,6,8,48,1,5,54
10,70,27,40,4,44,43,43,8,38,51,14
11,47,63,62,29,18,8,40,4,2,58,18
12,59,19,33,24,17,45,11,39,13,27,9
13,23,69,22,29,7,37,29,46,55,26,33
14,33,48,32,11,18,22,37,44,37,20,26
15,2,6,15,37,12,51,20,3,23,3,7
16,6,62,51,58,21,14,30,54,43,53,47
17,47,3,2,46,4,9,29,34,48,44,6
18,41,14,48,38,31,51,15,27,17,47,41
19,40,8,55,7,4,44,11,45,46,7,46
20,34,8,34,37,43,25,12,16,15,5,32
21,43,22,40,51,41,4,10,16,15,18,22
22,54,23,42,21,25,10,60,5,11,5,48
23,57,48,58,7,18,22,6,20,32,15,33
24,67,67,43,22,59,63,1,39,42,27,24
25,9,23,29,48,50,6,49,35,49,30,3
26,66,10,52,53,34,43,11,36,19,7,3
27,40,51,12,54,23,2,35,8,40,8,46
28,69,49,61,8,8,39,27,17,35,52,33
29,56,65,6,26,45,11,8,34,6,16,35
30,31,11,36,49,52,6,42,54,28,27,6
31,68,43,55,35,9,8,19,3,17,2,23
32,4,14,27,48,18,7,17,25,18,18,28
33,58,48,37,53,9,19,1,13,20,2,25
34,17,37,16,21,61,2,51,21,26,5,33
35,45,36,32,58,8,41,40,32,5,23,10
36,13,2,48,56,37,36,14,23,33,42,6
37,30,52,29,24,57,45,4,20,14,3,7
38,38,16,52,28,35,43,1,6,34,43,46
39,58,5,56,45,18,5,50,38,1,21,18
40,19,56,45,62,28,5,27,28,48,54,23
41,21,31,31,60,15,49,64,21,35,8,29
42,66,67,48,13,53,28,45,49,60,7,13
43,36,30,16,65,21,46,9,50,41,17,46
44,16,10,36,52,7,35,40,65,18,46,11
45,61,36,25,20,48,53,17,37,55,10,35
46,35,60,63,62,7,69,18,14,21,21,17
47,48,39,3,62,59,11,42,31,36,25,20
48,52,42,21,34,5,18,1,1,23,34,34
49,5,51,49,2,19,2,35,20,9,11,30
50,50,14,14,52,30,52,4,42,42,2,28
51,5,51,34,64,26,37,20,32,3,20,49
52,49,21,30,55,14,44,16,41,7,8,2
53,47,7,5,2,47,42,33,36,17,2,25
54,58,65,2,36,37,11,7,31,4,28,53
55,22,60,21,41,44,33,21,17,52,49,32
56,9,33,40,54,31,2,45,1,28,11,61
57,6,58,11,54,58,28,9,16,34,55,20
58,4,45,3,61,25,54,14,42,39,6,24
59,53,35,16,52,29,46,3,43,53,22,6
60,36,9,54,53,32,11,24,37,14,54,54
61,19,51,33,68,23,48,4,43,12,35,1
62,48,12,29,29,11,7,33,5,39,14,18
63,65,37,2,15,20,57,28,44,15,14,48
64,65,27,31,2,62,5,23,22,52,4,52
65,55,30,3,56,64,50,11,3,33,54,48
66,16,21,49,5,58,55,25,27,17,45,5
67,11,57,36,65,21,8,48,16,15,34,28
68,13,3,7,22,16,52,21,31,2,27,8
69,23,37,14,58,16,21,63,36,52,10,54
70,64,40,59,20,28,36,7,11,4,18,11
71,27,2,55,14,55,18,42,52,5,7,17
72,29,52,17,49,44,23,34,34,24,3,5
73,36,46,3,24,64,56,5,7,1,45,43
74,5,60,22,25,9,9,24,8,9,3,30
75,48,37,27,64,8,1,41,14,14,24,6
76,21,13,40,34,43,9,31,23,41,16,2
77,30,58,43,39,13,18,22,48,35,2,13
78,43,50,10,2,56,6,40,47,7,18,14
79,5,13,63,50,5,13,16,29,39,51,24
80,39,46,49,6,3,29,27,34,27,11,8
81,44,67,24,25,34,22,18,18,15,7,17
82,68,55,57,56,51,59,3,9,47,42,12
83,23,17,7,33,47,36,9,39,61,12,2
84,51,9,51,61,1,27,1,60,11,45,21
85,32,40,24,54,8,43,4,15,60,1,43
86,35,54,6,11,6,20,18,8,36,30,39
87,2,20,61,29,17,19,24,10,5,25,47
88,49,13,59,32,29,64,24,15,12,36,16
89,60,32,22,15,25,42,10,16,3,16,14
90,49,4,44,37,66,20,16,50,24,9,45
91,25,49,32,62,29,24,8,32,27,2,22
92,43,38,42,41,48,39,37,45,4,3,5
93,63,22,59,28,45,26,21,49,37,44,41
94,48,30,14,31,51,31,56,30,31,19,15
95,54,35,44,33,52,1,2,14,4,8,8
96,25,20,50,1,11,18,10,16,17,1,6
97,40,58,11,4,22,32,36,22,18,50,32
98,51,18,6,38,9,27,10,26,8,16,49
99,49,64,6,27,28,50,16,49,15,16,33
100,32,9,15,61,27,20,27,5,53,8,52
