,150,170,190,210,230,250
1,111,242,216,59,838,407
2,125,78,191,100,134,140
3,148,77,203,573,115,368
4,53,160,94,115,682,188
5,93,357,89,81,533,441
6,134,97,178,364,447,70
7,76,149,119,111,129,312
8,122,184,63,105,609,58
9,123,102,94,313,164,153
10,130,296,81,239,99,223
11,103,98,140,152,165,188
12,104,197,281,163,335,262
13,166,221,184,263,131,290
14,200,65,1016,274,565,172
15,108,175,732,97,79,210
16,92,126,89,86,325,402
17,95,129,126,232,193,173
18,215,148,128,61,156,240
19,121,137,134,147,48,787
20,105,249,151,82,77,265
21,72,98,94,186,324,284
22,136,94,173,118,266,815
23,78,288,136,150,168,377
24,63,233,137,148,314,192
25,414,73,207,222,170,359
26,123,148,158,82,335,729
27,79,57,128,197,1181,92
28,77,99,109,175,196,124
29,94,192,419,105,76,122
30,85,206,111,221,118,90
31,138,303,54,194,225,545
32,167,236,120,158,61,914
33,68,469,86,127,225,79
34,68,83,115,67,596,80
35,55,261,109,447,86,292
36,84,126,138,52,99,166
37,167,380,233,406,404,74
38,67,178,93,69,445,243
39,82,116,122,161,131,94
40,288,119,130,137,770,102
41,47,79,257,140,180,350
42,295,206,110,125,123,630
43,89,154,49,361,310,980
44,115,146,97,472,107,645
45,198,415,473,132,205,363
46,68,525,237,184,2082,114
47,123,196,237,213,234,190
48,87,158,52,251,396,1591
49,242,91,58,70,280,149
50,209,108,175,249,203,411
51,132,246,106,105,297,77
52,248,118,126,862,725,158
53,67,131,232,144,327,255
54,105,164,157,170,95,319
55,107,322,195,114,531,276
56,148,50,250,325,111,312
57,90,347,214,116,51,137
58,63,210,51,175,353,150
59,208,84,183,139,126,90
60,135,321,143,292,245,470
61,108,332,51,117,113,1093
62,105,121,191,299,705,518
63,143,90,168,96,184,508
64,115,117,800,205,141,215
65,52,247,164,841,171,108
66,107,163,89,111,207,385
67,426,104,150,377,102,128
68,225,76,77,159,97,413
69,92,284,264,244,149,205
70,91,128,166,148,518,117
71,174,151,136,169,502,418
72,141,98,198,138,239,344
73,167,225,213,236,200,473
74,95,151,137,346,173,188
75,80,127,85,226,216,163
76,89,61,60,139,195,1219
77,126,211,86,58,823,574
78,141,77,133,533,132,109
79,92,356,505,281,586,843
80,94,194,110,71,230,93
81,82,237,169,136,485,573
82,88,248,134,105,195,903
83,92,49,74,119,112,163
84,213,95,98,212,55,497
85,162,154,87,273,262,1241
86,131,165,168,229,230,1406
87,67,74,62,106,466,402
88,68,93,362,421,83,286
89,238,552,276,86,206,555
90,250,149,62,857,150,477
91,248,463,183,116,150,160
92,190,139,101,200,94,107
93,52,72,142,123,322,781
94,50,769,89,182,192,1557
95,78,289,239,468,389,318
96,119,164,154,130,107,373
97,176,114,297,170,105,183
98,130,216,90,98,376,493
99,99,281,285,186,134,156
100,82,364,422,475,270,330
