,150,170,190,210,230,250
1,13,36,51,4,63,62
2,39,8,39,45,37,47
3,19,7,54,67,28,63
4,4,31,20,27,68,53
5,11,50,17,7,62,68
6,16,31,31,67,55,3
7,14,28,31,30,34,47
8,17,42,5,9,66,6
9,23,16,6,51,35,48
10,18,54,11,53,6,64
11,24,24,35,23,32,39
12,12,50,48,52,63,62
13,20,39,65,40,47,59
14,42,4,69,41,49,39
15,31,43,66,21,13,50
16,28,44,6,25,60,64
17,24,28,39,41,48,48
18,25,31,19,5,15,63
19,19,32,32,53,2,70
20,19,59,42,7,8,60
21,4,18,25,31,67,70
22,30,12,33,10,39,70
23,9,28,31,18,59,60
24,3,38,49,17,60,40
25,57,13,52,49,53,64
26,16,27,24,14,63,68
27,7,4,44,55,69,18
28,8,10,21,34,52,24
29,18,40,49,25,12,51
30,24,44,18,50,16,33
31,20,54,3,30,36,63
32,27,23,44,46,6,68
33,6,59,15,43,62,6
34,5,6,44,8,65,20
35,2,58,32,62,14,63
36,10,24,24,2,22,26
37,42,60,24,53,65,8
38,5,22,6,3,65,59
39,9,36,38,53,18,10
40,50,15,29,39,70,49
41,2,11,38,27,35,70
42,50,51,25,54,32,65
43,9,45,2,67,57,69
44,26,38,12,65,20,69
45,47,58,46,34,49,56
46,10,61,48,51,68,46
47,49,50,62,61,48,31
48,15,43,4,64,69,70
49,45,16,4,6,67,35
50,55,26,62,61,52,69
51,31,47,15,14,63,9
52,50,20,47,70,68,33
53,4,32,55,34,62,67
54,35,24,27,31,30,62
55,25,51,54,16,59,62
56,36,3,36,49,34,63
57,14,60,47,27,2,52
58,5,49,2,54,66,31
59,54,8,23,34,50,25
60,12,36,31,61,62,65
61,30,44,3,36,41,69
62,25,32,49,61,54,68
63,35,15,23,24,53,70
64,28,31,63,57,18,51
65,4,25,45,68,11,64
66,24,41,19,27,53,69
67,57,22,35,48,19,56
68,30,11,12,25,13,68
69,15,56,46,37,43,45
70,10,20,19,54,60,57
71,31,18,35,56,60,64
72,33,8,20,37,43,53
73,32,47,35,58,46,66
74,10,38,30,62,46,57
75,5,14,22,60,60,53
76,12,6,3,18,48,69
77,25,53,11,3,60,66
78,37,13,50,55,52,39
79,17,62,63,55,69,69
80,22,47,17,9,57,27
81,9,51,47,51,58,69
82,7,23,56,13,53,67
83,10,2,6,40,19,50
84,28,18,10,52,3,69
85,24,27,11,56,48,70
86,42,26,48,63,28,70
87,6,12,5,24,67,53
88,5,10,52,23,7,62
89,46,60,60,8,45,64
90,33,15,5,70,56,69
91,43,45,37,22,43,57
92,34,32,11,34,37,32
93,2,9,48,30,66,70
94,2,65,23,36,39,70
95,27,35,37,59,62,69
96,24,58,42,31,13,63
97,17,32,52,39,25,63
98,29,25,12,24,56,70
99,23,52,53,53,38,53
100,14,55,61,65,65,65
