,1,2,3,4,5,6,7,8,9,10
1,56,68,137,115,76,183,320,99,72,128
2,286,95,133,194,285,191,163,193,79,99
3,146,259,150,134,57,193,105,154,103,148
4,151,87,197,148,134,87,217,200,105,578
5,158,286,109,91,210,238,199,97,166,137
6,220,440,84,146,194,114,91,99,94,261
7,393,754,135,108,170,158,85,225,86,83
8,102,63,129,154,350,208,436,170,105,171
9,313,100,211,367,242,72,161,143,101,101
10,152,369,103,155,178,176,137,107,410,55
11,60,182,133,96,95,238,98,114,173,522
12,265,666,188,112,118,208,196,70,497,94
13,134,141,743,232,105,126,195,49,193,254
14,113,108,104,77,100,293,81,264,99,85
15,136,141,204,81,197,176,124,105,93,78
16,88,50,239,108,113,390,190,154,92,131
17,203,73,271,287,155,166,144,186,532,154
18,402,158,54,237,258,391,156,418,155,57
19,88,146,176,156,92,256,155,119,203,163
20,97,225,85,177,224,164,97,236,134,166
21,131,107,368,112,180,135,129,66,106,511
22,212,118,259,233,74,76,243,244,100,147
23,252,187,114,218,285,109,85,55,111,81
24,48,234,91,82,278,99,172,115,223,446
25,397,499,134,90,286,140,108,111,399,85
26,449,100,61,64,386,100,190,106,107,596
27,173,66,261,166,264,160,94,206,135,55
28,100,269,155,80,80,127,440,134,159,153
29,147,136,100,102,97,102,129,136,116,399
30,84,139,127,272,517,170,407,148,200,330
31,256,104,158,108,93,337,49,122,207,144
32,243,287,75,238,142,156,71,128,72,85
33,157,208,104,97,101,272,326,315,114,204
34,95,123,132,165,140,114,286,43,260,110
35,944,239,40,150,186,405,433,91,105,222
36,309,203,330,216,127,209,311,162,310,166
37,149,267,168,273,46,437,51,92,50,156
38,416,106,79,208,92,56,153,259,248,156
39,182,387,91,161,267,107,382,192,168,173
40,212,110,83,504,104,73,649,46,245,228
41,307,262,519,129,119,39,161,107,200,310
42,151,127,117,145,227,180,77,482,62,308
43,129,103,77,102,403,333,196,391,91,244
44,55,97,127,67,902,1148,112,211,240,138
45,359,54,136,240,76,355,99,220,116,222
46,324,382,135,149,207,567,176,192,87,137
47,65,186,233,107,441,393,294,92,86,252
48,145,87,113,244,137,104,210,53,239,514
49,85,76,81,153,80,153,211,203,158,107
50,341,97,53,143,505,63,241,45,475,75
51,61,107,82,165,342,198,113,254,55,114
52,146,309,79,129,121,187,206,91,174,326
53,218,92,56,73,218,153,148,219,328,338
54,178,87,132,86,111,464,99,101,81,155
55,263,124,130,83,212,1211,67,597,212,109
56,146,185,431,349,69,187,284,108,149,79
57,258,221,200,177,347,272,51,193,100,121
58,354,130,290,420,177,544,124,117,101,177
59,162,110,190,77,68,197,263,154,154,103
60,415,88,500,131,288,78,169,136,153,147
61,118,167,136,191,149,167,132,173,295,203
62,85,52,215,185,264,188,315,49,254,241
63,142,222,364,72,151,110,88,249,85,153
64,170,170,108,435,253,147,191,95,119,67
65,113,68,257,83,303,838,84,130,73,228
66,204,90,90,60,134,306,139,236,424,126
67,299,197,71,171,58,257,98,144,172,123
68,348,277,53,162,113,70,364,340,163,424
69,448,211,231,202,378,482,312,157,112,106
70,98,63,142,147,120,179,326,75,127,133
71,153,95,250,256,92,127,188,136,162,209
72,89,154,193,138,213,89,218,135,81,191
73,340,88,115,170,135,72,214,109,69,143
74,198,196,425,290,307,126,78,185,103,319
75,50,52,178,73,100,90,146,123,136,454
76,54,83,68,76,82,261,344,96,290,277
77,91,156,150,216,122,185,140,143,103,113
78,230,127,135,80,278,391,282,215,77,137
79,218,221,97,161,467,207,175,226,287,535
80,85,122,269,93,130,256,476,253,100,78
81,106,195,93,84,379,325,378,847,54,43
82,86,215,62,164,114,173,151,154,78,182
83,307,298,222,133,191,132,177,70,285,277
84,132,75,204,83,190,186,94,135,136,121
85,296,176,195,290,288,526,245,147,120,251
86,97,184,162,162,116,355,76,109,160,434
87,66,153,405,112,82,94,193,76,64,110
88,240,176,785,79,131,218,128,220,226,169
89,264,387,90,170,83,43,212,223,76,729
90,120,205,132,149,140,299,144,156,136,308
91,175,120,79,395,341,314,144,52,118,160
92,288,341,124,179,105,92,376,103,140,388
93,513,85,102,133,210,108,88,58,138,418
94,491,196,51,89,62,158,97,57,69,385
95,387,245,110,92,122,269,74,80,180,151
96,202,193,107,133,152,121,458,178,108,414
97,317,498,151,220,295,397,123,103,95,204
98,103,220,156,111,283,284,108,93,106,174
99,140,177,114,158,293,127,275,226,282,82
100,168,123,48,175,163,103,176,81,89,338
