,1,2,3,4,5,6,7,8,9,10
1,3,7,55,31,5,54,44,7,6,24
2,52,23,16,57,42,56,19,56,9,18
3,39,54,32,15,2,40,25,39,37,53
4,47,18,59,45,32,13,15,45,25,46
5,43,51,13,14,27,60,57,24,17,41
6,52,59,27,14,32,10,15,21,6,61
7,53,67,22,35,30,34,13,41,9,10
8,18,4,30,33,63,47,65,38,29,45
9,49,20,62,60,39,8,41,22,23,27
10,54,55,17,17,44,55,55,28,64,2
11,6,62,33,7,41,48,19,24,41,66
12,60,55,51,18,33,57,61,10,50,15
13,38,34,70,57,26,33,46,2,54,30
14,38,20,16,8,22,46,8,57,25,12
15,47,18,46,11,25,61,27,21,20,14
16,19,2,38,44,21,63,43,49,13,45
17,32,9,57,41,55,22,38,24,59,52
18,53,54,3,59,66,57,47,56,42,3
19,25,30,45,21,7,51,39,20,34,23
20,25,51,13,55,47,43,10,49,28,49
21,38,16,61,25,38,33,55,6,9,67
22,26,47,57,25,10,7,31,37,12,48
23,59,53,32,49,54,8,11,2,41,9
24,3,45,15,12,64,19,36,19,62,63
25,62,68,37,17,65,38,30,21,65,24
26,59,15,3,5,50,27,55,40,22,59
27,38,5,57,37,36,56,8,51,48,4
28,28,37,43,14,4,40,63,19,34,51
29,17,12,13,18,25,22,50,48,11,60
30,22,22,16,58,65,57,47,15,54,45
31,47,13,40,16,18,59,2,12,40,46
32,60,61,12,65,34,49,9,17,10,22
33,59,59,9,12,15,41,67,51,22,55
34,7,26,33,50,23,23,58,1,55,34
35,70,47,1,50,49,53,45,20,18,50
36,57,43,55,25,30,55,45,54,44,58
37,47,54,40,48,2,43,2,13,3,24
38,48,18,5,53,26,4,48,59,59,39
39,53,48,12,50,60,21,70,26,50,39
40,48,16,17,58,12,7,67,3,40,40
41,62,56,67,47,16,2,60,17,59,46
42,30,27,19,27,60,47,10,56,4,42
43,34,24,10,30,57,60,40,66,9,33
44,3,26,20,10,63,68,47,41,45,41
45,65,2,16,65,20,68,19,63,17,57
46,51,27,10,40,37,69,49,27,6,17
47,4,37,44,27,50,27,55,6,15,20
48,61,12,32,59,21,29,52,2,53,63
49,16,11,16,51,3,51,47,56,29,24
50,50,16,4,31,58,3,60,2,55,12
51,4,14,13,45,57,55,33,61,4,19
52,41,66,11,28,55,36,47,17,37,66
53,38,20,2,14,52,48,39,49,61,42
54,37,22,29,9,33,62,26,26,5,35
55,40,55,38,9,49,66,4,68,41,39
56,28,30,54,40,11,37,49,21,36,12
57,56,46,34,55,65,63,2,53,8,38
58,52,50,53,53,54,57,36,41,30,22
59,30,42,31,11,5,42,48,20,43,14
60,59,7,46,38,49,9,48,20,42,37
61,26,51,44,47,34,34,18,34,45,41
62,16,3,62,52,57,39,64,2,42,42
63,30,35,55,5,50,25,14,61,9,52
64,25,31,17,68,43,22,40,17,32,4
65,30,11,50,10,56,66,8,33,9,44
66,53,10,14,9,34,62,26,59,58,18
67,49,37,6,36,4,56,27,36,30,31
68,60,45,3,52,14,6,61,51,38,66
69,57,47,50,41,32,59,62,43,14,26
70,22,6,40,22,44,28,58,13,42,34
71,29,12,55,50,13,32,39,29,38,56
72,11,38,39,43,54,26,25,39,7,51
73,63,21,25,55,32,4,42,17,4,16
74,37,42,64,56,64,49,11,37,12,57
75,2,2,45,14,13,8,34,46,39,55
76,3,18,12,4,11,29,50,15,56,59
77,14,48,50,48,24,64,35,12,7,30
78,60,24,14,25,55,58,57,47,6,26
79,56,48,17,45,58,43,46,60,51,55
80,20,35,53,17,23,48,30,44,20,10
81,21,39,16,6,55,59,65,64,2,2
82,12,44,3,55,20,47,20,31,10,35
83,60,43,49,27,40,43,45,4,55,57
84,50,9,39,19,55,44,22,29,34,36
85,48,54,46,58,27,69,56,34,28,54
86,10,44,33,39,15,47,9,10,60,53
87,3,24,63,23,19,12,43,9,6,40
88,48,44,69,6,31,63,61,53,50,43
89,61,59,9,29,12,2,27,44,6,65
90,25,46,41,28,29,54,25,55,21,51
91,42,30,18,51,60,40,43,3,20,63
92,65,64,53,39,9,14,66,28,31,69
93,49,17,13,36,55,29,22,2,48,49
94,61,29,2,6,3,53,25,3,5,58
95,64,60,16,16,44,46,9,8,35,59
96,47,35,26,48,53,18,63,57,29,63
97,67,66,40,61,57,45,22,52,7,63
98,20,53,29,40,40,55,41,11,17,51
99,55,40,17,57,63,34,53,54,51,17
100,46,27,2,32,33,34,26,11,14,54
